x_coord,y_coord,iso_nombre,nombre,nombre_completo
159.0,234.0,Misiones,Misiones,Provincia de Misiones
-50.0,127.0,San Luis,San Luis,Provincia de San Luis
-97.0,164.0,San Juan,San Juan,Provincia de San Juan
62.0,141.0,Entre Rios,Entre Rios,Provincia de Entre Rios
-103.0,-171.0,Santa Cruz,Santa Cruz,Provincia de Santa Cruz
-71.0,-21.0,Rio Negro,Rio Negro,Provincia de Rio Negro
-91.0,-91.0,Chubut,Chubut,Provincia del Chubut
-19.0,160.0,Cordoba,Cordoba,Provincia de Cordoba
-90.0,94.0,Mendoza,Mendoza,Provincia de Mendoza
-69.0,196.0,La Rioja,La Rioja,Provincia de La Rioja
-82.0,249.0,Catamarca,Catamarca,Provincia de Catamarca
-45.0,46.0,La Pampa,La Pampa,Provincia de La Pampa
-2.0,240.0,Santiago del Estero,Santiago del Estero,Provincia de Santiago del Estero
95.0,204.0,Corrientes,Corrientes,Provincia de Corrientes
40.0,188.0,Santa Fe,Santa Fe,Provincia de Santa Fe
-34.0,245.0,Tucuman,Tucuman,Provincia de Tucuman
-108.0,15.0,Neuquen,Neuquen,Provincia del Neuquen
-27.0,279.0,Salta,Salta,Provincia de Salta
45.0,247.0,Chaco,Chaco,Provincia del Chaco
58.0,289.0,Formosa,Formosa,Provincia de Formosa
-51.0,323.0,Jujuy,Jujuy,Provincia de Jujuy
77.0,85.0,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires
33.0,54.0,Buenos Aires,Buenos Aires,Provincia de Buenos Aires
-67.0,-293.0,Tierra del Fuego,"Tierra del Fuego, Antartida e Islas del Atlantico Sur","Provincia de Tierra del Fuego, Antartida e Islas del Atlantico Sur"
